ඞcollection_urlඞname_and_countryඞcollection_nameඞplaceඞmain_categoryඞsecondary_categoryඞyearඞphoto_url
0ඞhttps://photoawards.com/winner/zoom.php?eid=8-186713-20ඞMike Dodd, United KingdomඞA sustainable future of exquisite luxury mobilityඞ1st PlaceඞAdvertisingඞ Automotiveඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103278405/8-186713-20/full/a896a5ed8d38fe37b6d58cec9f55878c.jpg
9ඞhttps://photoawards.com/winner/zoom.php?eid=8-196918-20ඞNeil Kremer, United StatesඞService Nowඞ1st PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/115182/8-196918-20/full/596b320543f6d1ca73ff0a208032e02d.jpg
10ඞhttps://photoawards.com/winner/zoom.php?eid=8-194432-20ඞMasumi Shiohara, Japanඞ Identification of Fruitsඞ2nd PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/127942/8-194432-20/full/8951e3a51f27f31bb1074cebd87feeec.jpg
10ඞhttps://photoawards.com/winner/zoom.php?eid=8-194432-20ඞMasumi Shiohara, Japanඞ Identification of Fruitsඞ2nd PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/127942/8-194432-20/full/9fd84cd93ab4c15c20ea90f03398624a.jpg
10ඞhttps://photoawards.com/winner/zoom.php?eid=8-194432-20ඞMasumi Shiohara, Japanඞ Identification of Fruitsඞ2nd PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/127942/8-194432-20/full/8f0f86b791b12c59584e8f23a8e6c645.jpg
10ඞhttps://photoawards.com/winner/zoom.php?eid=8-194432-20ඞMasumi Shiohara, Japanඞ Identification of Fruitsඞ2nd PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/127942/8-194432-20/full/74fd50e73d16d96ed91ae73a65f09381.jpg
10ඞhttps://photoawards.com/winner/zoom.php?eid=8-194432-20ඞMasumi Shiohara, Japanඞ Identification of Fruitsඞ2nd PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/127942/8-194432-20/full/8ecbd8a0c3e49a6cd4563b3a085ea9ff.jpg
10ඞhttps://photoawards.com/winner/zoom.php?eid=8-194432-20ඞMasumi Shiohara, Japanඞ Identification of Fruitsඞ2nd PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/127942/8-194432-20/full/d472d8b2f3821a501d8d36b2d005f3e2.jpg
10ඞhttps://photoawards.com/winner/zoom.php?eid=8-194432-20ඞMasumi Shiohara, Japanඞ Identification of Fruitsඞ2nd PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/127942/8-194432-20/full/b7409ccba661c3777d62d535bac90e17.jpg
10ඞhttps://photoawards.com/winner/zoom.php?eid=8-194432-20ඞMasumi Shiohara, Japanඞ Identification of Fruitsඞ2nd PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/127942/8-194432-20/full/ae0c795fa299537f5abad489a8542c7f.jpg
10ඞhttps://photoawards.com/winner/zoom.php?eid=8-194432-20ඞMasumi Shiohara, Japanඞ Identification of Fruitsඞ2nd PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/127942/8-194432-20/full/d00474e229b8ae727dd4999be1c74621.jpg
11ඞhttps://photoawards.com/winner/zoom.php?eid=8-196555-20ඞGeert De Taeye, BelgiumඞLandor & Fitchඞ3rd PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/98849/8-196555-20/full/ddf9e7df3e88d42ef8dd4847245bde04.jpg
11ඞhttps://photoawards.com/winner/zoom.php?eid=8-196555-20ඞGeert De Taeye, BelgiumඞLandor & Fitchඞ3rd PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/98849/8-196555-20/full/eac6df7e7078bfd609d9027fd36d61cd.jpg
11ඞhttps://photoawards.com/winner/zoom.php?eid=8-196555-20ඞGeert De Taeye, BelgiumඞLandor & Fitchඞ3rd PlaceඞAdvertisingඞ Conceptualඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/98849/8-196555-20/full/c9306fd43fd9757ba244cf46ac450b95.jpg
12ඞhttps://photoawards.com/winner/zoom.php?eid=8-204508-20ඞAndy Gallacher, United KingdomඞFabric of a nation A W Hainsworthඞ1st PlaceඞAdvertisingඞ Fashionඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/56747/8-204508-20/full/fe11dee7221d1a5c7a04e041b877098b.jpg
13ඞhttps://photoawards.com/winner/zoom.php?eid=8-194301-20ඞElena Paraskeva, CyprusඞCrossing The Lineඞ2nd PlaceඞAdvertisingඞ Fashionඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/123930/8-194301-20/full/bc3c8e1bd399957a2a955bf23e0a13c3.jpg
14ඞhttps://photoawards.com/winner/zoom.php?eid=8-197850-20ඞGeorge McLeod, United KingdomඞSomnambulanceඞ3rd PlaceඞAdvertisingඞ Fashionඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103273017/8-197850-20/full/01f0adca09585761b94ee42c757136b6.jpg
14ඞhttps://photoawards.com/winner/zoom.php?eid=8-197850-20ඞGeorge McLeod, United KingdomඞSomnambulanceඞ3rd PlaceඞAdvertisingඞ Fashionඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103273017/8-197850-20/full/4a807b006f1638f36a7dd8d1c71d7c1a.jpg
14ඞhttps://photoawards.com/winner/zoom.php?eid=8-197850-20ඞGeorge McLeod, United KingdomඞSomnambulanceඞ3rd PlaceඞAdvertisingඞ Fashionඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103273017/8-197850-20/full/4ec61c021216c20c90077e3c9a8bd12b.jpg
14ඞhttps://photoawards.com/winner/zoom.php?eid=8-197850-20ඞGeorge McLeod, United KingdomඞSomnambulanceඞ3rd PlaceඞAdvertisingඞ Fashionඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103273017/8-197850-20/full/4d3c084f5ed0ca0ffa7828321d901c54.jpg
14ඞhttps://photoawards.com/winner/zoom.php?eid=8-197850-20ඞGeorge McLeod, United KingdomඞSomnambulanceඞ3rd PlaceඞAdvertisingඞ Fashionඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103273017/8-197850-20/full/0c0e5f94a71648f078e41fca944cb95d.jpg
14ඞhttps://photoawards.com/winner/zoom.php?eid=8-197850-20ඞGeorge McLeod, United KingdomඞSomnambulanceඞ3rd PlaceඞAdvertisingඞ Fashionඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/4103273017/8-197850-20/full/8c1d8552da425a61b04e38a0170afacf.jpg
15ඞhttps://photoawards.com/winner/zoom.php?eid=8-187547-20ඞBene Tan, SingaporeඞSingapore Iconic Cuisineඞ1st PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/74990/8-187547-20/full/794064bc5a13c0a82ab59201439be10d.jpg
15ඞhttps://photoawards.com/winner/zoom.php?eid=8-187547-20ඞBene Tan, SingaporeඞSingapore Iconic Cuisineඞ1st PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/74990/8-187547-20/full/feb7c98f7815b952cc6c957b7302cafc.jpg
15ඞhttps://photoawards.com/winner/zoom.php?eid=8-187547-20ඞBene Tan, SingaporeඞSingapore Iconic Cuisineඞ1st PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/74990/8-187547-20/full/8165d5b3e345af7f6d65a7d301942071.jpg
15ඞhttps://photoawards.com/winner/zoom.php?eid=8-187547-20ඞBene Tan, SingaporeඞSingapore Iconic Cuisineඞ1st PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/74990/8-187547-20/full/5bccb96d95599e3c9548b838e4e57026.jpg
15ඞhttps://photoawards.com/winner/zoom.php?eid=8-187547-20ඞBene Tan, SingaporeඞSingapore Iconic Cuisineඞ1st PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/74990/8-187547-20/full/766f8fb73640863a68361fdcc20f8b62.jpg
15ඞhttps://photoawards.com/winner/zoom.php?eid=8-187547-20ඞBene Tan, SingaporeඞSingapore Iconic Cuisineඞ1st PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/74990/8-187547-20/full/88efe870377790c3475185d6399a0c4f.jpg
15ඞhttps://photoawards.com/winner/zoom.php?eid=8-187547-20ඞBene Tan, SingaporeඞSingapore Iconic Cuisineඞ1st PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/74990/8-187547-20/full/504df62c303f360d4e7d8431fb5773ad.jpg
15ඞhttps://photoawards.com/winner/zoom.php?eid=8-187547-20ඞBene Tan, SingaporeඞSingapore Iconic Cuisineඞ1st PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/74990/8-187547-20/full/a3f7e80d1964daf0e27884032f7f36eb.jpg
15ඞhttps://photoawards.com/winner/zoom.php?eid=8-187547-20ඞBene Tan, SingaporeඞSingapore Iconic Cuisineඞ1st PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/74990/8-187547-20/full/4d1ee376db23e00ef54dae1375d806e1.jpg
15ඞhttps://photoawards.com/winner/zoom.php?eid=8-187547-20ඞBene Tan, SingaporeඞSingapore Iconic Cuisineඞ1st PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/74990/8-187547-20/full/463b08fc6764df8b0cc43ab2f2d107d9.jpg
16ඞhttps://photoawards.com/winner/zoom.php?eid=8-187508-20ඞShell Royster, United StatesඞIrishඞ2nd PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/143513/8-187508-20/full/4c6a01451aa2566733875f844f4abbce.jpg
16ඞhttps://photoawards.com/winner/zoom.php?eid=8-187508-20ඞShell Royster, United StatesඞIrishඞ2nd PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/143513/8-187508-20/full/468a68b6d669a02278e569669a4599ed.jpg
16ඞhttps://photoawards.com/winner/zoom.php?eid=8-187508-20ඞShell Royster, United StatesඞIrishඞ2nd PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/143513/8-187508-20/full/f129aa02b749869958af2bb52341466c.jpg
16ඞhttps://photoawards.com/winner/zoom.php?eid=8-187508-20ඞShell Royster, United StatesඞIrishඞ2nd PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/143513/8-187508-20/full/c90cd4d7bb9cd0d54af88179aa73e1fd.jpg
16ඞhttps://photoawards.com/winner/zoom.php?eid=8-187508-20ඞShell Royster, United StatesඞIrishඞ2nd PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/143513/8-187508-20/full/9f9c8cfa2409686b72c77bbc2cd0836e.jpg
16ඞhttps://photoawards.com/winner/zoom.php?eid=8-187508-20ඞShell Royster, United StatesඞIrishඞ2nd PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/143513/8-187508-20/full/e23c3b7b70981a1a52b82440f7106e91.jpeg
16ඞhttps://photoawards.com/winner/zoom.php?eid=8-187508-20ඞShell Royster, United StatesඞIrishඞ2nd PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/143513/8-187508-20/full/ecf3adcb807fe58a5d02c7ca274e23a4.jpg
16ඞhttps://photoawards.com/winner/zoom.php?eid=8-187508-20ඞShell Royster, United StatesඞIrishඞ2nd PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/143513/8-187508-20/full/0dd9c9841dccbfe4eb76ce4d7d32a26e.jpg
16ඞhttps://photoawards.com/winner/zoom.php?eid=8-187508-20ඞShell Royster, United StatesඞIrishඞ2nd PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/143513/8-187508-20/full/2956801d612f9e369ee4c29209d18ea2.jpg
17ඞhttps://photoawards.com/winner/zoom.php?eid=8-198407-20ඞLori Eanes, United StatesඞPlastic Seriesඞ3rd PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/83393/8-198407-20/full/3051214d9102d5c6156a7004cea7aa53.jpg
17ඞhttps://photoawards.com/winner/zoom.php?eid=8-198407-20ඞLori Eanes, United StatesඞPlastic Seriesඞ3rd PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/83393/8-198407-20/full/1f0009c0cfe10ca61e93a3f4979c7111.jpg
17ඞhttps://photoawards.com/winner/zoom.php?eid=8-198407-20ඞLori Eanes, United StatesඞPlastic Seriesඞ3rd PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/83393/8-198407-20/full/bdb498e64bc88221d05f3375ea704ea9.jpg
17ඞhttps://photoawards.com/winner/zoom.php?eid=8-198407-20ඞLori Eanes, United StatesඞPlastic Seriesඞ3rd PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/83393/8-198407-20/full/59076cb835d6d8ac6d8f191ba723a8ca.jpg
17ඞhttps://photoawards.com/winner/zoom.php?eid=8-198407-20ඞLori Eanes, United StatesඞPlastic Seriesඞ3rd PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/83393/8-198407-20/full/a12336ba0d9c6e6d1abef08296db70d9.jpg
17ඞhttps://photoawards.com/winner/zoom.php?eid=8-198407-20ඞLori Eanes, United StatesඞPlastic Seriesඞ3rd PlaceඞAdvertisingඞ Food & Beverageඞ2020ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/uploads/83393/8-198407-20/full/50766efde2eecd5c06acab652531503b.jpg
